Datetime,Water Level (m)
2022-11-30 12:00:00,0.14126758
2022-11-30 13:00:00,0.17464302
2022-11-30 14:00:00,0.18864006
2022-11-30 15:00:00,0.20103607
2022-11-30 16:00:00,0.21639013
2022-11-30 17:00:00,0.22705796
2022-11-30 18:00:00,0.2348411
2022-11-30 19:00:00,0.24188977
2022-11-30 20:00:00,0.24772242
2022-11-30 21:00:00,0.25473994
2022-11-30 22:00:00,0.26341364
2022-11-30 23:00:00,0.27800927
2022-12-01 00:00:00,0.29603323
2022-12-01 01:00:00,0.31567872
2022-12-01 02:00:00,0.33272702
2022-12-01 03:00:00,0.34646177
2022-12-01 04:00:00,0.3571151
2022-12-01 05:00:00,0.36532357
2022-12-01 06:00:00,0.37131122
2022-12-01 07:00:00,0.3754548
2022-12-01 08:00:00,0.3782892
2022-12-01 09:00:00,0.3818679
2022-12-01 10:00:00,0.38971037
2022-12-01 11:00:00,0.4037652
2022-12-01 12:00:00,0.42213178
2022-12-01 13:00:00,0.44127408
2022-12-01 14:00:00,0.45778513
2022-12-01 15:00:00,0.4705853
2022-12-01 16:00:00,0.48001117
2022-12-01 17:00:00,0.4864585
2022-12-01 18:00:00,0.49038234
2022-12-01 19:00:00,0.49221653
2022-12-01 20:00:00,0.49224612
2022-12-01 21:00:00,0.49075136
2022-12-01 22:00:00,0.48883918
2022-12-01 23:00:00,0.48950478
2022-12-02 00:00:00,0.49592045
2022-12-02 01:00:00,0.507562
2022-12-02 02:00:00,0.5204708
2022-12-02 03:00:00,0.53070027
2022-12-02 04:00:00,0.5375298
2022-12-02 05:00:00,0.5418533
2022-12-02 06:00:00,0.54384446
2022-12-02 07:00:00,0.5437396
2022-12-02 08:00:00,0.54184246
2022-12-02 09:00:00,0.53836775
2022-12-02 10:00:00,0.5344433
2022-12-02 11:00:00,0.5325445
2022-12-02 12:00:00,0.53587073
2022-12-02 13:00:00,0.5450969
2022-12-02 14:00:00,0.5568461
2022-12-02 15:00:00,0.5669532
2022-12-02 16:00:00,0.5738332
2022-12-02 17:00:00,0.5778645
2022-12-02 18:00:00,0.57951146
2022-12-02 19:00:00,0.5790654
2022-12-02 20:00:00,0.5768335
2022-12-02 21:00:00,0.5731556
2022-12-02 22:00:00,0.5684495
2022-12-02 23:00:00,0.5640086
2022-12-03 00:00:00,0.56294674
2022-12-03 01:00:00,0.5683347
2022-12-03 02:00:00,0.5797411
2022-12-03 03:00:00,0.5927692
2022-12-03 04:00:00,0.6034029
2022-12-03 05:00:00,0.6102531
2022-12-03 06:00:00,0.6139644
2022-12-03 07:00:00,0.61505586
2022-12-03 08:00:00,0.61391604
2022-12-03 09:00:00,0.6107348
2022-12-03 10:00:00,0.6060318
2022-12-03 11:00:00,0.60080284
2022-12-03 12:00:00,0.5968051
2022-12-03 13:00:00,0.5977318
2022-12-03 14:00:00,0.60499555
2022-12-03 15:00:00,0.61541766
2022-12-03 16:00:00,0.62441504
2022-12-03 17:00:00,0.62992305
2022-12-03 18:00:00,0.6324416
2022-12-03 19:00:00,0.6327635
2022-12-03 20:00:00,0.63119936
2022-12-03 21:00:00,0.6278853
2022-12-03 22:00:00,0.62295383
2022-12-03 23:00:00,0.6169826
2022-12-04 00:00:00,0.6119465
2022-12-04 01:00:00,0.6116805
2022-12-04 02:00:00,0.61926895
2022-12-04 03:00:00,0.6324826
2022-12-04 04:00:00,0.64696944
2022-12-04 05:00:00,0.65850765
2022-12-04 06:00:00,0.6657522
2022-12-04 07:00:00,0.6691058
2022-12-04 08:00:00,0.6693699
2022-12-04 09:00:00,0.66726524
2022-12-04 10:00:00,0.6633051
2022-12-04 11:00:00,0.6579892
2022-12-04 12:00:00,0.6519055
2022-12-04 13:00:00,0.64710563
2022-12-04 14:00:00,0.6474951
2022-12-04 15:00:00,0.6543019
2022-12-04 16:00:00,0.66331744
2022-12-04 17:00:00,0.67028815
2022-12-04 18:00:00,0.67402893
2022-12-04 19:00:00,0.674842
2022-12-04 20:00:00,0.6733334
2022-12-04 21:00:00,0.6698599
2022-12-04 22:00:00,0.66443276
2022-12-04 23:00:00,0.6572118
2022-12-05 00:00:00,0.6490405
2022-12-05 01:00:00,0.64271903
2022-12-05 02:00:00,0.64261085
2022-12-05 03:00:00,0.6506518
2022-12-05 04:00:00,0.6634964
2022-12-05 05:00:00,0.6764613
2022-12-05 06:00:00,0.68594694
2022-12-05 07:00:00,0.6907046
2022-12-05 08:00:00,0.69144815
2022-12-05 09:00:00,0.6891114
2022-12-05 10:00:00,0.6845769
2022-12-05 11:00:00,0.67820555
2022-12-05 12:00:00,0.6702074
2022-12-05 13:00:00,0.6614347
2022-12-05 14:00:00,0.6543034
2022-12-05 15:00:00,0.6522233
2022-12-05 16:00:00,0.65622675
2022-12-05 17:00:00,0.6622417
2022-12-05 18:00:00,0.6656324
2022-12-05 19:00:00,0.6656107
2022-12-05 20:00:00,0.66317433
2022-12-05 21:00:00,0.65871304
2022-12-05 22:00:00,0.6524647
2022-12-05 23:00:00,0.64497787
2022-12-06 00:00:00,0.63654625
2022-12-06 01:00:00,0.62806743
2022-12-06 02:00:00,0.6230764
2022-12-06 03:00:00,0.6263013
2022-12-06 04:00:00,0.63742876
2022-12-06 05:00:00,0.6524962
2022-12-06 06:00:00,0.66658175
2022-12-06 07:00:00,0.6757843
2022-12-06 08:00:00,0.68004894
2022-12-06 09:00:00,0.6806232
2022-12-06 10:00:00,0.67837024
2022-12-06 11:00:00,0.67413014
2022-12-06 12:00:00,0.6682197
